2026-03-24 12:30:53,stg-web-01,19,64,34,ok
2026-03-24 12:30:59,stg-web-01,32,50,32,ok
2026-03-26 14:52:19,stg-web-01,52,53,32,ok
2026-03-28 11:16:56,stg-web-01,87,55,32,critical
2026-03-28 11:17:05,stg-web-01,43,34,58,ok
2026-03-28 11:17:17,stg-web-01,38,54,32,ok
2026-03-28 11:17:49,stg-web-01,36,54,32,ok
2026-03-29 11:53:58,stg-web-01,48,21,20,ok
2026-03-29 11:54:10,stg-web-01,48,57,34,ok
2026-03-29 11:54:55,stg-web-01,26,57,34,ok
2026-03-29 11:55:28,stg-web-01,45,56,34,ok
2026-04-14 17:53:58,stg-web-01,50,57,36,ok
2026-04-14 17:54:53,stg-web-01,24,29,48,ok
